,ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl
0,JNJ,2020-01-30,2020-02-19,126.99810028076172,125.79875183105467,10,-11.993484497070455
1,AAPL,2020-01-30,2020-02-24,78.14314270019531,72.11541748046875,10,-60.277252197265625
2,SPY,2020-02-07,2020-02-25,304.4158630371094,286.50103759765625,10,-179.14825439453125
3,JNJ,2020-04-02,2020-05-06,113.17920684814452,125.86992645263672,10,126.90719604492202
4,JNJ,2020-06-02,2020-06-10,126.88792419433594,126.50276184082033,10,-3.851623535156108
5,SPY,2020-04-03,2020-06-17,228.7696075439453,287.2732238769531,10,585.0361633300781
6,SPY,2020-06-18,2020-06-24,287.38372802734375,281.5289611816406,10,-58.54766845703125
7,AAPL,2020-04-08,2020-07-28,64.34956359863281,90.4574203491211,10,261.0785675048828
8,JNJ,2020-07-08,2020-07-31,122.62554168701172,124.75669860839844,10,21.311569213867188
9,JNJ,2020-08-12,2020-09-08,128.09478759765625,126.87947082519533,10,-12.153167724609233
10,AAPL,2020-07-31,2020-09-09,103.0750503540039,114.00873565673828,10,109.33685302734375
11,SPY,2020-07-06,2020-09-10,293.5274658203125,309.1180419921875,10,155.90576171875
12,JNJ,2020-10-02,2020-10-19,126.00064849853516,124.34635925292967,10,-16.54289245605483
13,AAPL,2020-10-01,2020-10-23,113.49370574951172,111.79309844970705,10,-17.006072998046733
14,SPY,2020-10-02,2020-10-27,310.3089904785156,314.3802490234375,10,40.71258544921875
15,AAPL,2020-11-09,2020-11-27,113.2319564819336,113.49480438232422,10,2.62847900390625
16,JNJ,2020-11-10,2020-11-30,127.75830841064452,125.52272033691406,10,-22.355880737304545
