,ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl
0,AAPL,2022-02-11,2022-02-15,165.38548278808594,169.4553680419922,10,40.6988525390625
1,JNJ,2022-02-14,2022-03-03,147.2935333251953,150.81704711914062,10,35.235137939453125
2,SPY,2022-02-18,2022-03-16,410.74658203125,412.0614318847656,10,13.14849853515625
3,AAPL,2022-02-22,2022-03-21,161.1488494873047,162.1884002685547,10,10.3955078125
4,AAPL,2022-04-11,2022-05-04,162.5512237548828,162.81602478027344,10,2.64801025390625
5,AAPL,2022-05-05,2022-05-27,153.74453735351562,146.96774291992188,10,-67.7679443359375
6,SPY,2022-04-12,2022-05-27,415.8749694824219,394.0227661132813,10,-218.52203369140568
7,AAPL,2022-06-03,2022-06-07,142.78382873535156,146.0543670654297,10,32.70538330078125
8,JNJ,2022-06-09,2022-06-23,156.49801635742188,161.8584747314453,10,53.604583740234375
9,AAPL,2022-06-09,2022-06-24,140.09275817871094,139.13027954101562,10,-9.624786376953125
10,AAPL,2022-06-28,2022-07-01,134.98562622070312,136.44900512695312,10,14.6337890625
11,SPY,2022-06-09,2022-07-06,380.9095458984375,365.2206726074219,10,-156.88873291015625
12,SPY,2022-07-13,2022-07-19,361.0085754394531,373.8162536621094,10,128.0767822265625
13,SPY,2022-08-22,2022-09-12,393.9046936035156,391.6366882324219,10,-22.6800537109375
14,SPY,2022-09-13,2022-10-18,374.6072998046875,355.12371826171875,10,-194.8358154296875
15,AAPL,2022-08-26,2022-10-21,160.9213104248047,144.84100341796875,10,-160.80307006835938
16,JNJ,2022-10-07,2022-10-21,145.29637145996094,153.0146942138672,10,77.1832275390625
17,SPY,2022-11-03,2022-11-10,355.0088806152344,377.66754150390625,10,226.58660888671875
18,AAPL,2022-11-03,2022-11-11,136.58937072753906,147.4751434326172,10,108.85772705078125
19,JNJ,2022-11-11,2022-11-18,153.5044403076172,159.80789184570312,10,63.034515380859375
