,Cash,Portfolio_value,AAPL,JNJ,SPY,Daily_Return,Rolling_Max,Drawdown
START,10000.0,10000.0,0.0,0.0,0.0,,10000.0,0.0
2021-01-04,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021-01-05,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021-01-06,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021-01-07,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021-01-08,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021-01-11,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021-01-12,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021-01-13,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021-01-14,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021-01-15,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021-01-19,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021-01-20,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021-01-21,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021-01-22,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021-01-25,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021-01-26,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021-01-27,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021-01-28,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021-01-29,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021-02-01,7282.557678222656,10000.0,10.0,10.0,0.0,0.0,10000.0,0.0
2021-02-02,7282.557678222656,9995.60775756836,10.0,10.0,0.0,-0.0004392242431641158,10000.0,-0.0004392242431640625
2021-02-03,7282.557678222656,9978.87939453125,10.0,10.0,0.0,-0.001673571376832328,10000.0,-0.002112060546875
2021-02-04,8687.964782714844,10025.390930175781,10.0,0.0,0.0,0.00466099787417229,10025.390930175781,0.0
2021-02-05,5068.7841796875,10021.24740600586,10.0,0.0,10.0,-0.000413303002225085,10025.390930175781,-0.0004133030022250937
2021-02-08,5068.7841796875,10048.84765625,10.0,0.0,10.0,0.0027541731209628217,10048.84765625,0.0
2021-02-09,3626.244354248047,10037.646179199219,10.0,10.0,10.0,-0.001114702643920995,10048.84765625,-0.001114702643921003
2021-02-10,3626.244354248047,10034.700927734375,10.0,10.0,10.0,-0.0002934205302979054,10048.84765625,-0.0014077960975780416
2021-02-11,3626.244354248047,10031.539306640625,10.0,10.0,10.0,-0.0003150687914387218,10048.84765625,-0.0017224213364016785
2021-02-12,3626.244354248047,10056.405792236328,10.0,10.0,10.0,0.0024788305000451594,10056.405792236328,0.0
2021-02-16,4924.723052978516,10018.87924194336,0.0,10.0,10.0,-0.003731606606600879,10056.405792236328,-0.003731606606600911
2021-02-17,4924.723052978516,10024.83871459961,0.0,10.0,10.0,0.0005948242824707073,10056.405792236328,-0.0031390019743524006
2021-02-18,4924.723052978516,10009.944152832031,0.0,10.0,10.0,-0.001485765725675603,10056.405792236328,-0.004620103878481698
2021-02-19,4924.723052978516,9979.557495117188,0.0,10.0,10.0,-0.003035647077635928,10056.405792236328,-0.007641725951280574
2021-02-22,6337.846374511719,9950.679626464844,0.0,0.0,10.0,-0.002893702317610103,10056.405792236328,-0.010513315388794901
2021-02-23,6337.846374511719,9955.068054199219,0.0,0.0,10.0,0.0004410178901452788,10056.405792236328,-0.010076934058820835
2021-02-24,6337.846374511719,9994.927368164062,0.0,0.0,10.0,0.004003921796198018,10056.405792236328,-0.00611335951853969
2021-02-25,6337.846374511719,9906.806640625,0.0,0.0,10.0,-0.008816545062622971,10056.405792236328,-0.014876005871483484
2021-02-26,9888.416748046875,9888.416748046875,0.0,0.0,0.0,-0.0018562886352009311,10056.405792236328,-0.016704680346047968
2021-03-01,9888.416748046875,9888.416748046875,0.0,0.0,0.0,0.0,10056.405792236328,-0.016704680346047968
2021-03-02,9888.416748046875,9888.416748046875,0.0,0.0,0.0,0.0,10056.405792236328,-0.016704680346047968
2021-03-03,9888.416748046875,9888.416748046875,0.0,0.0,0.0,0.0,10056.405792236328,-0.016704680346047968
2021-03-04,9888.416748046875,9888.416748046875,0.0,0.0,0.0,0.0,10056.405792236328,-0.016704680346047968
2021-03-05,9888.416748046875,9888.416748046875,0.0,0.0,0.0,0.0,10056.405792236328,-0.016704680346047968
2021-03-08,9888.416748046875,9888.416748046875,0.0,0.0,0.0,0.0,10056.405792236328,-0.016704680346047968
2021-03-09,9888.416748046875,9888.416748046875,0.0,0.0,0.0,0.0,10056.405792236328,-0.016704680346047968
2021-03-10,9888.416748046875,9888.416748046875,0.0,0.0,0.0,0.0,10056.405792236328,-0.016704680346047968
2021-03-11,9888.416748046875,9888.416748046875,0.0,0.0,0.0,0.0,10056.405792236328,-0.016704680346047968
2021-03-12,6209.960021972656,9888.416748046875,0.0,0.0,10.0,0.0,10056.405792236328,-0.016704680346047968
2021-03-15,6209.960021972656,9910.353698730469,0.0,0.0,10.0,0.002218449246480958,10056.405792236328,-0.014523289585093456
2021-03-16,4801.201934814453,9905.68603515625,0.0,10.0,10.0,-0.00047098859597882736,10056.405792236328,-0.014987437877301618
2021-03-17,4801.201934814453,9913.051147460938,0.0,10.0,10.0,0.0007435236972530568,10056.405792236328,-0.014255057695271427
2021-03-18,3626.1466217041016,9856.476440429688,10.0,10.0,10.0,-0.0057070932238396654,10056.405792236328,-0.01988079597593293
2021-03-19,3626.1466217041016,9840.696868896484,10.0,10.0,10.0,-0.001600934332727455,10056.405792236328,-0.02144990245982056
2021-03-22,3626.1466217041016,9906.984939575195,10.0,10.0,10.0,0.00673611549688391,10056.405792236328,-0.01485827598330286
