Date,AAPL,JNJ,SPY
2020-01-02,72.46825408935547,123.29019927978516,297.698974609375
2020-01-03,71.76371765136719,121.86274719238281,295.4447021484375
2020-01-06,72.33556365966797,121.71073913574219,296.5718688964844
2020-01-07,71.99536895751953,122.4540023803711,295.7379150390625
2020-01-08,73.15349578857422,122.43710327148438,297.31414794921875
2020-01-09,74.70732879638672,122.80032348632812,299.33013916015625
2020-01-10,74.876220703125,122.52155303955078,298.4687805175781
2020-01-13,76.47589874267578,123.06212615966797,300.52142333984375
2020-01-14,75.44322967529297,123.75474548339844,300.0632629394531
2020-01-15,75.11992645263672,124.16858673095703,300.7413330078125
2020-01-16,76.06090545654297,125.17369842529297,303.2430114746094
2020-01-17,76.9029769897461,125.99302673339844,304.1868591308594
2020-01-21,76.3818130493164,126.0774917602539,303.59124755859375
2020-01-22,76.65444946289062,125.21595764160156,303.62786865234375
2020-01-23,77.02362060546875,125.45238494873047,303.97601318359375
2020-01-24,76.8016357421875,125.27501678466797,301.27276611328125
2020-01-27,74.5432357788086,125.63825988769531,296.44354248046875
2020-01-28,76.65204620361328,126.27172088623047,299.550048828125
2020-01-29,78.25655364990234,127.15011596679688,299.3026123046875
2020-01-30,78.14314270019531,126.99810028076172,300.2739562988281
2020-01-31,74.67839050292969,125.73959350585938,294.8216247558594
2020-02-03,74.47331237792969,126.83760070800781,297.0117492675781
2020-02-04,76.93193817138672,128.04542541503906,301.5385437011719
2020-02-05,77.55924224853516,130.06410217285156,305.0206298828125
2020-02-06,78.46647644042969,129.67555236816406,306.04705810546875
2020-02-07,77.39990234375,128.2903594970703,304.4158630371094
2020-02-10,77.76749420166016,128.26499938964844,306.68853759765625
2020-02-11,77.29830932617188,128.37484741210938,307.2200012207031
2020-02-12,79.13398742675781,127.61469268798828,309.19940185546875
2020-02-13,78.57044982910156,126.7700424194336,308.8694763183594
2020-02-14,78.58982849121094,126.8038330078125,309.36431884765625
2020-02-18,77.15077209472656,125.9676513671875,308.5671081542969
2020-02-19,78.26815032958984,125.79875183105469,310.04241943359375
2020-02-20,77.46519470214844,125.3172836303711,308.7686462402344
2020-02-21,75.71177673339844,126.63494110107422,305.5888977050781
2020-02-24,72.11541748046875,124.0253677368164,295.4538879394531
2020-02-25,69.67272186279297,122.95435333251953,286.50103759765625
2020-02-26,70.77799224853516,122.12983703613281,285.44720458984375
2020-02-27,66.1513442993164,118.25379943847656,272.62725830078125
2020-02-28,66.11265563964844,114.30970764160156,271.4818115234375
2020-03-02,72.26778411865234,119.01880645751953,283.23870849609375
2020-03-03,69.97262573242188,115.25321960449219,275.12896728515625
2020-03-04,73.21827697753906,121.9598159790039,286.6933898925781
2020-03-05,70.84329986572266,120.71029663085938,277.1632385253906
2020-03-06,69.9024658203125,120.72730255126953,272.5814208984375
2020-03-09,64.37377166748047,115.97574615478516,251.29434204101562
2020-03-10,69.01004028320312,120.39581298828125,264.2975158691406
2020-03-11,66.61328887939453,112.03168487548828,251.41343688964844
2020-03-12,60.0349235534668,106.6001205444336,227.35894775390625
2020-03-13,67.22760772705078,114.14822387695312,246.7949676513672
2020-03-16,58.578983306884766,108.06212615966797,219.78976440429688
2020-03-17,61.154701232910156,116.10323333740234,231.6566619873047
2020-03-18,59.65764236450195,114.71772766113281,219.92718505859375
2020-03-19,59.20054244995117,107.99413299560547,220.3945770263672
2020-03-20,55.442161560058594,101.90804290771484,210.8968505859375
2020-03-23,54.26433563232422,94.47042083740234,205.5045928955078
2020-03-24,59.70842742919922,101.30453491210938,224.12396240234375
2020-03-25,59.37949752807617,101.49153900146484,227.47915649414062
2020-03-26,62.504234313964844,107.58610534667969,240.76161193847656
2020-03-27,59.916419982910156,104.68756866455078,233.59036254882812
2020-03-30,61.626304626464844,113.0602035522461,241.17640686035156
2020-03-31,61.500545501708984,111.46217346191406,237.58154296875
2020-04-01,58.26456832885742,109.49014282226562,226.88919067382812
2020-04-02,59.23680877685547,113.17920684814453,232.1248016357422
2020-04-03,58.385494232177734,114.04622650146484,228.7696075439453
2020-04-06,63.47890090942383,118.79776000976562,244.13523864746094
2020-04-07,62.74365997314453,116.85975646972656,244.38412475585938
2020-04-08,64.34956359863281,121.7728042602539,252.58763122558594
2020-04-09,64.81392669677734,120.04728698730469,256.431396484375
2020-04-13,66.08607482910156,118.80630493164062,254.09011840820312
2020-04-14,69.42362976074219,124.12735748291016,261.5839538574219
2020-04-15,68.78997802734375,125.51289367675781,256.02587890625
2020-04-16,69.33654022216797,127.22142791748047,257.2609558105469
2020-04-17,68.395751953125,129.21896362304688,264.2109375
2020-04-20,66.97608947753906,128.92144775390625,259.55609130859375
2020-04-21,64.90582275390625,127.22992706298828,251.67518615722656
2020-04-22,66.77533721923828,130.04347229003906,257.2609558105469
2020-04-23,66.51655578613281,132.18548583984375,257.2425231933594
2020-04-24,68.43685913085938,131.63296508789062,260.8281555175781
2020-04-27,68.4852294921875,131.14846801757812,264.5888671875
2020-04-28,67.37512969970703,128.6834259033203,263.37225341796875
2020-04-29,69.58808898925781,127.70594024658203,270.2668762207031
2020-04-30,71.05610656738281,127.5359115600586,267.7504577636719
2020-05-01,69.91215515136719,126.04840087890625,260.6623229980469
2020-05-04,70.90135955810547,126.0313720703125,261.38116455078125
2020-05-05,71.96548461914062,127.07691955566406,263.7962341308594
2020-05-06,72.70795440673828,125.86992645263672,262.0080261230469
2020-05-07,73.46012115478516,125.45339965820312,265.1695861816406
2020-05-08,75.20862579345703,126.39691925048828,269.55712890625
2020-05-11,76.39204406738281,126.7453842163086,269.6124267578125
